Record Length,2.50E+03,,-0.000125,3
Sample Interval,1.00E-07,,-0.0001249,2.8
Trigger Point,1.25E+03,,-0.0001248,3
,,,-0.0001247,3.4
,,,-0.0001246,3.2
,,,-0.0001245,3.4
Source,CH1,,-0.0001244,3.2
Vertical Units,V,,-0.0001243,3.4
Vertical Scale,5.00E+00,,-0.0001242,3
Vertical Offset,5.00E+00,,-0.0001241,3.4
Horizontal Units,s,,-0.000124,3
Horizontal Scale,2.50E-05,,-0.0001239,3.2
Pt Fmt,Y,,-0.0001238,3.2
Yzero,0.00E+00,,-0.0001237,3.2
Probe Atten,1.00E+01,,-0.0001236,3.4
Model Number,TDS2024C,,-0.0001235,3.4
Serial Number,C013007,,-0.0001234,3.4
Firmware Version,FV:v24.09,,-0.0001233,3.4
,,,-0.0001232,3.6
,,,-0.0001231,3.6
,,,-0.000123,3.2
,,,-0.0001229,3.4
,,,-0.0001228,3
,,,-0.0001227,3
,,,-0.0001226,3
,,,-0.0001225,3.4
,,,-0.0001224,3.4
,,,-0.0001223,3.2
,,,-0.0001222,3
,,,-0.0001221,3.4
,,,-0.000122,3.2
,,,-0.0001219,3.4
,,,-0.0001218,3.4
,,,-0.0001217,3.4
,,,-0.0001216,3.4
,,,-0.0001215,3
,,,-0.0001214,3.4
,,,-0.0001213,3.4
,,,-0.0001212,3
,,,-0.0001211,3
,,,-0.000121,3
,,,-0.0001209,3.4
,,,-0.0001208,3.4
,,,-0.0001207,3.2
,,,-0.0001206,3.4
,,,-0.0001205,3
,,,-0.0001204,3.6
,,,-0.0001203,3.2
,,,-0.0001202,3.4
,,,-0.0001201,3.4
,,,-0.00012,3.4
,,,-0.0001199,3.6
,,,-0.0001198,3.6
,,,-0.0001197,3.2
,,,-0.0001196,2.8
,,,-0.0001195,3.2
,,,-0.0001194,3.4
,,,-0.0001193,3.2
,,,-0.0001192,3
,,,-0.0001191,3.2
,,,-0.000119,3.2
,,,-0.0001189,3
,,,-0.0001188,3.4
,,,-0.0001187,3.2
,,,-0.0001186,3.2
,,,-0.0001185,3.4
,,,-0.0001184,3.4
,,,-0.0001183,3.4
,,,-0.0001182,3.4
,,,-0.0001181,3.4
,,,-0.000118,3.4
,,,-0.0001179,3.4
,,,-0.0001178,3.6
,,,-0.0001177,3
,,,-0.0001176,3.4
,,,-0.0001175,3.2
,,,-0.0001174,3.2
,,,-0.0001173,3
,,,-0.0001172,3.4
,,,-0.0001171,3.4
,,,-0.000117,3.2
,,,-0.0001169,3.2
,,,-0.0001168,3.8
,,,-0.0001167,3.4
,,,-0.0001166,3.6
,,,-0.0001165,3.6
,,,-0.0001164,3.2
,,,-0.0001163,3.2
,,,-0.0001162,3
,,,-0.0001161,3
,,,-0.000116,3.2
,,,-0.0001159,3.4
,,,-0.0001158,3
,,,-0.0001157,3.2
,,,-0.0001156,3
,,,-0.0001155,3
,,,-0.0001154,3
,,,-0.0001153,3.4
,,,-0.0001152,3
,,,-0.0001151,3
,,,-0.000115,3
,,,-0.0001149,3.2
,,,-0.0001148,3.4
,,,-0.0001147,3.4
,,,-0.0001146,3
,,,-0.0001145,3.2
,,,-0.0001144,3.2
,,,-0.0001143,2.8
,,,-0.0001142,3.4
,,,-0.0001141,3.4
,,,-0.000114,3.4
,,,-0.0001139,3.4
